,Address,lat,lng
488,"метро «Красносельская», Краснопрудная улица, дом 22-24",55.778715,37.665309
489,"метро «Кропоткинская», улица Пречистенка, дом 1/2",55.743841,37.601034
490,"метро «Кропоткинская», улица Пречистенка, дом 1/2",55.743841,37.601034
493,"метро «Октябрьская», Калужская пл., дом 1, корпус 1",55.728469,37.61291
494,"метро «Октябрьская», Калужская пл., дом 1, корпус 1",55.728469,37.61291
495,"метро «Охотный ряд», Охотный ряд улица, дом 2",55.757303,37.616782
496,"метро «Парк Культуры», Зубовский бульвар, дом 13, строение 1",55.735707,37.592303
497,"метро «Парк Культуры», Зубовский бульвар, дом 13, строение 1",55.735707,37.592303
498,"метро «Парк Культуры», Зубовский бульвар, дом 13, строение 1",55.735707,37.592303
499,"метро «Площадь Ильича», Гжельский переулок, дом 19, строение 2",55.747647,37.680616
500,"ул. Лесная, д. 5",55.777783,37.586877
501,"ул. Лесная, д. 5",55.777783,37.586877
502,"ул. Лесная, д. 5",55.777783,37.586877
503,"метро «Сухаревская», Малая Сухаревская пл., дом 12",55.772335,37.631505
504,"метро «Сухаревская», Малая Сухаревская пл., дом 12",55.772335,37.631505
505,"метро «Сухаревская», Большая Сухаревская пл., дом 12",55.771818,37.636491
506,"метро «Сухаревская», Большая Сухаревская пл., дом 12",55.771818,37.636491
507,"метро «Таганская», Верхняя Радищевская улица, дом 22",55.742656,37.653218
508,"метро «Тургеньевская», Сретенский бульвар, дом 11",55.766952,37.636275
509,"метро «Тургеньевская», Сретенский бульвар, дом 11",55.766952,37.636275
510,метро «Улица 1905 года»,55.764713,37.561464
511,метро «Улица 1905 года»,55.764713,37.561464
512,"метро «Цветной бульвар», Цветной бульвар, дом 17",55.771661,37.620339
513,"метро «Цветной бульвар», Цветной бульвар, дом 17",55.771661,37.620339
514,"Площадь Мясницкие Ворота, дом 1, строение3",55.764941,37.63835
515,"Площадь Мясницкие Ворота, дом 1, строение3",55.764941,37.63835
516,"проспект Академика Сахарова, дом 10",55.768699,37.641962
517,"проспект Академика Сахарова, дом 10",55.768699,37.641962
520,"Большой Овчинниковский переулок, дом 16",55.744186,37.630715
521,"Большой Овчинниковский переулок, дом 16",55.744186,37.630715
526,"улица Нижняя Радищевская, дом 2 «дом Русского Зарубежья им. Александра Солженицына»",55.74299,37.651636
527,площадь Цезаря Куникова Кинотеатр 35 мм,55.763944,37.655131
528,площадь Цезаря Куникова Кинотеатр 35 мм,55.763944,37.655131
529,"Котельническая набережная, дом 1/15кА",55.745787,37.642743
530,"Котельническая набережная, дом 1/15кА",55.745787,37.642743
531,"Кузнецкий мост улица, дом 2",55.760682,37.616198
532,"Кузнецкий мост улица, дом 2",55.760682,37.616198
533,"улица Арбат, дом 52, строение 1, МИД РФ",55.672514,37.523806
534,"улица Арбат, дом 52, строение 1, МИД РФ",55.672514,37.523806
535,"Тверской бульвар, дом 22-24-28",55.761452,37.603873
536,"Тверской бульвар, дом 22-24-28",55.761452,37.603873
537,"Тверской бульвар, дом 22-24-28",55.761452,37.603873
538,"Трубная пл., дом 2 ТЦ Неглинная плаза",55.766491,37.622333
541,"Никольская улица, дом 25",55.759091,37.624777
542,"Никольская улица, дом 25",55.759091,37.624777
543,Патриаршие пруды,55.763852,37.592105
544,Певческий переулок 1/2 строение 1,55.751822,37.642267
545,Красные Ворота площадь,55.768674,37.648888
546,Красные Ворота площадь,55.768674,37.648888
547,"Пятницкая улица, дом 18",55.741997,37.62819
548,"Пятницкая улица, дом 69",55.731779,37.627418
549,"улица Сретенка, дом 29",55.77191,37.630697
558,"Георгиевский переулок, дом 3, строение 3",55.75938,37.615336
559,"Георгиевский переулок, дом 3, строение 3",55.75938,37.615336
560,"Нижняя Сыромятническая улица, дом 10",55.752668,37.668893
561,"Нижняя Сыромятническая улица, дом 10",55.752668,37.668893
562,"Нижняя Сыромятническая улица, дом 10",55.752668,37.668893
565,Выставочная,55.750018,37.541207
566,Выставочная,55.750018,37.541207
567,"Пресненская наб., д. 2",55.74906,37.539347
568,"Пресненская наб., д. 2",55.74906,37.539347
569,"Новослободская улица, дом 23",55.781398,37.598528
570,"Новослободская улица, дом 23",55.781398,37.598528
571,"Большой Толмачевский переулок, дом 3",55.740071,37.621776
572,"улица Казакова, дом 8",55.762176,37.662012
573,"Большая Пироговская улица, дом 6, строение 1",55.72857,37.562533
574,"Фрунзенская набережная, дом 50",55.718659,37.576807
575,"Фрунзенская набережная, дом 50",55.718659,37.576807
576,"Новоспасский переулок, дом 5, строение 1",55.733827,37.653604
577,"Каретный ряд улица, дом 5/10",55.772679,37.608419
578,"Пятницкая улица, дом 25, строение 1Д",55.741521,37.62881
579,"Пятницкая улица, дом 26, строение 1",55.740694,37.627068
580,"Пятницкая улица, дом 66, строение 2",55.732469,37.626816
581,"Крымский Вал улица, дом 8, корпус 2",55.731982,37.607529
582,"Крымский Вал улица, дом 8, корпус 2",55.731982,37.607529
583,"Большой Трехсвятительский переулок, дом 3",55.755368,37.646471
584,"Большой Трехсвятительский переулок, дом 3",55.755368,37.646471
585,"Малый Златоустинский переулок, дом 7, строение 1",55.759603,37.634784
586,"Малый Златоустинский переулок, дом 7, строение 1",55.759603,37.634784
587,"Петровка улица, дом 19",55.76527,37.615964
588,"Петровка улица, дом 19",55.76527,37.615964
589,"улица Арбат, дом 26",55.749891,37.591521
590,"Большой Сухаревский переулок, дом 2/24",55.77038,37.625801
591,"Гагаринский переулок, дом 3",55.744865,37.599867
592,"улица Петровка, дом 38",55.769378,37.612982
593,"Никольская ул., д. 12",55.759035,37.625513
594,Новопушкинский сквер,55.764308,37.603711
595,"Большой Овчинниковский пер., д. 12, стр. 1",55.744069,37.631397
596,площадь Красные ворота,55.768674,37.648888
598,ст. м. Третьяковская,55.741323,37.62643
599,"Большой Знаменский переулок, дом 19, корп. 2",55.748062,37.602184
600,"Садовническая улица, дом 33, строение1",55.745605,37.637596
601,"метро «Добрынинская», Коровий Вал, дом 1а, строение 1",55.72926,37.621992
602,"улица Большая Бронная, дом 2, строение 1 (точка №109)",55.760094,37.597513
603,Певческий переулок 1/2с1,55.751822,37.642267
604,Пушкинская пл. (Новопушкинский сквер),55.765549,37.605984
