,Address,lat,lng
111,"Мясницкая ул., д. 46, стр. 7",55.767965,37.64418
112,"Арбат улица, дом 20",55.750332,37.59348
113,"Знаменка улица, дом 19, строение 1",55.750732,37.601591
114,"Спасопесковский переулок, дом 4",55.749466,37.58826
115,"Арбат улица, дом 30/3, строение 1",55.749309,37.59021
116,"Знаменка улица, дом 13, строение 1",55.749785,37.605697
117,"Знаменка улица, дом 11/11",55.749618,37.606227
118,"Арбат улица, дом 52, строение 1",55.747424,37.584254
119,"Никитский бульвар, дом 25",55.756888,37.598106
120,"Сухаревская Малая площадь, дом 8, строение 1",55.772669,37.630059
121,"Садовая-Триумфальная улица, дом 12/14, строение 1",55.77113,37.601232
122,"Садовая-Каретная улица, дом 8, строение 1",55.772456,37.607062
123,"Каретный Малый переулок, дом 12",55.771054,37.614401
124,"Мясницкая ул., д. 13, стр. 3",55.762622,37.63394
125,"Мясницкая ул., д. 16",55.760925,37.632511
126,"Мясницкая ул., д. 19",55.763878,37.635566
127,"ул. Рождественка, д. 18/1",55.765134,37.623807
129,"Мясницкая ул., д. 26",55.763878,37.637192
130,"Воротниковский переулок, дом 8, строение 1",55.770284,37.602005
131,"Большая Дмитровка, д. 12/1, стр. 1",55.761533,37.614734
132,"Мясницкая ул., д. 47",55.768719,37.644576
133,"Мясницкая ул., д. 47",55.768719,37.644576
134,"Колобовский 3-й переулок, дом 14",55.769828,37.618111
136,"Цветной бульвар, дом 11, строение 1",55.769773,37.61936
137,"Трубная улица, дом 17/4, строение 2",55.769813,37.624705
139,"Мясницкая ул., д. 26",55.763878,37.637192
140,"Ананьевский переулок, дом 4/2, строение 3",55.771115,37.637569
141,"Ул. Рождественка, д. 5/7, стр. 2",55.761148,37.623304
142,"Большая Ордынка ул., д. 67",55.73113,37.624409
143,"Страстной бульвар, дом 11",55.767605,37.609389
144,"Петровский бульвар, дом 19, строение 2",55.768223,37.617653
145,"Петровский бульвар, дом 23",55.76763,37.620285
146,"Мясницкая ул., д. 17, стр. 1",55.763462,37.635305
147,"Колокольников переулок, дом 16",55.767767,37.627831
148,"Сретенка улица, дом 16",55.768345,37.63235
150,"Благовещенский переулок, дом 2/16, строение 1",55.766162,37.596642
151,"Мамоновский переулок, дом 10",55.766228,37.599876
152,"Мясницкая ул., д.11",55.761695,37.632664
153,"ул. Забелина, д. 1",55.754557,37.637461
154,"Петровка улица, дом 23",55.765559,37.614689
155,"Трубная улица, дом 2",55.767205,37.624229
156,"Рождественский бульвар, дом 21, строение 2",55.766891,37.63005
157,"Мясницкая ул., д. 26",55.763878,37.637192
158,"Сретенский бульвар, дом 5",55.766866,37.633526
159,"Мясницкая улица, дом 40а",55.766415,37.640596
160,"Харитоньевский Малый переулок, дом 8",55.766202,37.644351
161,"Козловский Большой переулок, дом 11, строение 1",55.766425,37.647846
162,"Садовая-Кудринская улица, дом 32, строение 1",55.765412,37.590901
163,"Бронная Малая улица, дом 42",55.765174,37.592105
164,"Мясницкая ул., д. 11",55.761695,37.632664
165,"Трехпрудный переулок, дом 8",55.765235,37.598295
166,"Мясницкая ул., д. 12, стр.1",55.760393,37.631865
167,"ул. Новый Арбат, д. 6",55.753286,37.59657
168,"Петровка улица, дом 24",55.765027,37.617276
169,"Кисельный Малый переулок, дом 3, строение 1",55.765265,37.626511
170,"Кисельный Большой переулок, дом 13/15",55.764845,37.628685
171,"Мясницкая улица, дом 26",55.763878,37.637192
172,"Чистопрудный бульвар, дом 1а",55.764673,37.639904
173,"Садовая-Черногрязская улица, дом 14/19, корпус 5",55.765691,37.651223
174,"Козловский Малый переулок, дом 6",55.764744,37.648187
175,"Патриарший Малый переулок, дом 3",55.762824,37.591728
176,"Малая Бронная улица, дом 28",55.763624,37.594288
177,"Столешников переулок, дом 11",55.763315,37.615731
178,"Варсонофьевский переулок, дом 8, строение 1",55.763148,37.626439
179,"Никитский б-р, д. 17",55.756239,37.598564
180,"Никитский б-р, д. 9",55.754628,37.599813
181,"Комсомольский проспект, дом 26",55.727572,37.581236
182,"Поварская улица, дом 14",55.754142,37.597163
183,"улица Большая Ордынка, дом 74, строение 1",55.730436,37.623699
184,"улица Крымский Вал, дом 6",55.730892,37.610098
185,"5-й Монетчиковский переулок, дом 4",55.732783,37.633652
186,"5-й Монетчиковский переулок, дом 14",55.732347,37.63093
187,"2-й Монетчиковский переулок, дом 2/12",55.731734,37.62899
188,"улица Большая Ордынка, дом 50/72, строение 2",55.731845,37.623169
189,"Мясницкая ул., д. 27/7, стр. 2",55.764156,37.635745
190,"Озерковская набережная, дом 48/50, строение 1",55.735282,37.639383
191,"Новокузнецкая улица, дом 27/6, строение 1",55.73552,37.633149
192,"Мясницкая ул., д. 11",55.761695,37.632664
193,"улица Нижняя Радищевская, дом 5, строение 2",55.741901,37.653343
194,"Котельническая набережная, дом 25, корпус 2",55.742727,37.64613
195,"улица Ленивка, дом 1",55.746968,37.60823
196,"Садовническая улица, дом 11",55.747586,37.629547
197,"Мясницкая ул., д. 32",55.765529,37.639195
198,Мясницкие Ворота пл.,55.764941,37.63835
199,Мясницкие Ворота пл.,55.764941,37.63835
200,"Никитский бульвар, дом 10",55.75478,37.601124
202,"Покровский бульвар, дом 3",55.756791,37.648528
203,"Никольская улица, дом 25",55.759091,37.624777
204,"Лялин переулок, дом 8, строение 1",55.759755,37.651331
205,"улица Большая Якиманка, дом 58/2",55.730659,37.611545
206,"улица Большая Ордынка, дом 68",55.731495,37.62378
207,"Казанский переулок, дом 8",55.732509,37.614617
208,"улица Большая Якиманка, дом 54",55.731384,37.611473
209,"улица Большая Ордынка, дом 47",55.734212,37.624687
210,"2-й Казачий переулок, дом 4, строение 1",55.733964,37.620905
211,Мясницкие Ворота пл.,55.764941,37.63835
212,"улица Большая Якиманка, дом 42, строение 3",55.733123,37.611751
213,"улица Кузнецкий мост, дом 21/5",55.762556,37.627175
214,"Татарская улица, дом 1/7",55.73555,37.637596
215,"Пятницкая улица, дом 51/14, строение 3",55.735763,37.628909
216,"улица Большая Ордынка, дом 25",55.740314,37.625316
217,"улица Большая Ордынка, дом 44, строение 2",55.735991,37.623986
218,"1-й Казачий пер., д. 4",55.73516,37.623456
219,"улица Большая Якиманка, дом 29",55.735778,37.614347
220,"Космодамианская наб., д. 36",55.73925,37.643704
221,"улица Большая Татарская, дом 35, строение 4",55.736873,37.63606
222,"улица Малая Ордынка, дом 19",55.736888,37.626556
223,"улица Большая Ордынка, дом 34-38",55.737193,37.623573
224,"Бродников переулок, дом 7",55.736741,37.615964
225,"1-й Голутвинский переулок, дом 7",55.736635,37.611131
226,"улица Остоженка, дом 48/2, строение 5",55.736863,37.59462
227,"Садовническая улица, дом 76/71, строение 1",55.738505,37.641243
228,"Новокузнецкая улица, дом 13, строение 1",55.73741,37.631757
229,"Пятницкая улица, дом 40, строение 1",55.738302,37.627912
230,"улица Большая Ордынка, дом 27а/8, строение 1",55.73886,37.625019
231,"Пыжевский переулок, дом 24",55.739199,37.622001
232,"улица Большая Якиманка, дом 22, корпус 3",55.738252,37.61344
233,"Мясницкая ул., д. 38, стр. 1",55.766101,37.640075
234,"улица Остоженка, дом 37/7, строение 1",55.738713,37.596148
235,"Садовническая набережная, дом 62",55.739073,37.639806
236,"Озерковский переулок, дом 9",55.740345,37.634991
237,"улица Большая Татарская, дом 26",55.73926,37.633284
238,"Пятницкая улица, дом 28, строение 1",55.740406,37.627445
239,"ул. Малая Ордынка, д. 29",55.734045,37.625846
240,"улица Большая Ордынка, дом 22, строение 2",55.74071,37.624498
241,"улица Малая Якиманка, дом 4/10, строение 2",55.740689,37.614824
242,"улица Остоженка, дом 27, корпус 1",55.739047,37.59648
243,"улица Пречистенка, дом 25",55.740522,37.591674
244,Мясницкие Ворота пл.,55.764941,37.63835
245,"Космодамианская набережная, дом 26",55.741693,37.642402
246,"Садовническая улица, дом 62, строение 3",55.740963,37.639824
247,"Большая Татарская ул., д. 26",55.73926,37.633284
249,"Пятницкая улица, дом 27",55.741313,37.628891
250,"Большой Толмачевский переулок, дом 6",55.740887,37.623537
251,"Ордынка Большая ул., д. 22, стр. 2",55.74071,37.624498
252,"Никольская ул,, д. 12",55.759035,37.625513
253,"улица Остоженка, дом 18",55.741495,37.598663
254,"улица Пречистенка, дом 19/11",55.741151,37.593839
255,Мясницкие Ворота пл.,55.764941,37.63835
256,"Радищевская Нижняя улица, дом 2",55.74299,37.651636
257,"Гончарная улица, дом 23",55.743056,37.649696
258,"Космодамианская набережная, дом 24",55.741581,37.640991
259,"Ордынка Большая ул., д. 50/72",55.731845,37.623169
260,"Пятницкий переулок, дом 2",55.743385,37.629502
261,"Пятницкая улица, дом 6",55.744409,37.627319
262,"3-й Кадашевский переулок, дом 2",55.742443,37.624696
263,"Болотная набережная, дом 15, строение 8",55.743396,37.611626
264,Мясницкие Ворота пл.,55.764941,37.63835
265,"Мясницкая ул., д. 18",55.761138,37.632727
266,"улица Пречистенка, дом 18",55.742803,37.595752
267,"Большой Левшинский переулок, дом 3/5",55.74339,37.590722
268,"улица Земляной Вал, дом 66/20",55.745154,37.654457
269,"Нижний Таганский тупик, дом 3",55.765397,37.621408
270,"Котельническая набережная, дом 17",55.744586,37.643624
271,"Космодамианская набережная, дом 4/22б",55.744404,37.639374
272,Мясницкие Ворота пл.,55.764941,37.63835
273,"Гоголевский бульвар, дом 3",55.744901,37.600648
274,Мясницкие Ворота пл.,55.764941,37.63835
275,"Ордынка Большая, д. 40",55.735824,37.621094
276,"Яузская улица, дом 12",55.746142,37.647756
277,"Гончарная улица, дом 3, строение 3",55.746324,37.645447
278,Мясницкие Ворота пл.,55.764941,37.63835
279,"Гоголевский бульвар, дом 9",55.745656,37.599579
280,"Большой Власьевский переулок, дом 9",55.74601,37.590335
281,"Николоямская улица, дом 26, строение 1а",55.746943,37.65443
282,"Николоямская улица, дом 13, строение 1",55.747637,37.651699
283,"Николоямская улица, дом 1",55.748235,37.648133
284,"Котельническая набережная дом 1/15, корпус ВК",55.745656,37.642923
285,"Мясницкая ул., д. 32, стр. 1",55.765529,37.639195
286,Мясницкие Ворота пл.,55.764941,37.63835
287,"Колымажный переулок, дом 10",55.748199,37.604403
288,"переулок Сивцев Вражек, дом 20",55.747819,37.59392
289,Мясницкие Ворота пл.,55.764941,37.63835
291,"Староваганьковский переулок, дом 19, строение 7",55.751335,37.607134
292,"Солянский проезд, дом 4/1",55.753798,37.635898
293,"улица Большая Дмитровка, дом 1",55.758924,37.61644
294,"улица Рождественка, дом 5/7, строение 2",55.761148,37.623304
295,"Малый Гнездниковский переулок, дом 9, строение 7",55.762839,37.606586
297,"Хоромный тупик, дом 2/6",55.767924,37.648412
298,"Большая Ордынка ул., д. 52",55.734501,37.624067
299,"Большая Ордынка ул., д. 69",55.730598,37.624597
